TITLE="EPhi"
VARIABLES="x", "y", "EPhi"
ZONE T="Ephi", I=38, J=2, DATAPACKING=POINT
0.0329121 0.00114932 1.08273
0.0339094 0.00118414 3.20048
0.0349068 0.00121897 6.89603
0.0359041 0.0012538 10.4086
0.0369014 0.00128863 0
0 0 0
0.000996577 5.22284e-05 0
0.00199315 0.000104457 0
0.00298973 0.000156685 0
0.00398631 0.000208913 0
0.00498288 0.000261142 0
0.00597946 0.00031337 0
0.00697604 0.000365599 0
0.00797261 0.000417827 0
0.00896919 0.000470055 0
0.00996577 0.000522284 0
0.0109623 0.000574512 0
0.0119589 0.00062674 0
0.0129555 0.000678969 0
0.0139521 0.000731197 0
0.0149486 0.000783426 0
0.0159452 0.000835654 0
0.0169418 0.000887882 0
0.0179384 0.000940111 0
0.018935 0.000992339 0
0.0199315 0.00104457 -6.47941
0.0209281 0.0010968 -2.61029
0.0219247 0.00114902 10.8123
0.0229213 0.00120125 2.23393
0.0239178 0.00125348 -3.89629
0.0249144 0.00130571 23.9693
0.025911 0.00135794 59.7385
0.0269076 0.00141017 63.3678
0.0279041 0.00146239 48.2684
0.0289007 0.00151462 46.251
0.0298973 0.00156685 44.0718
0.0308939 0.00161908 25.9698
0.0318905 0.00167131 6.44865
0.032887 0.00172354 1.15302
0.0338836 0.00177576 3.19361
0.0348802 0.00182799 6.83454
0.0358768 0.00188022 10.3112
0.0368733 0.00193245 0
ZONE T="Ephi", I=38, J=2, DATAPACKING=POINT
0 0 0
0.000996577 5.22284e-05 0
0.00199315 0.000104457 0
0.00298973 0.000156685 0
0.00398631 0.000208913 0
0.00498288 0.000261142 0
0.00597946 0.00031337 0
0.00697604 0.000365599 0
0.00797261 0.000417827 0
0.00896919 0.000470055 0
0.00996577 0.000522284 0
0.0109623 0.000574512 0
0.0119589 0.00062674 0
0.0129555 0.000678969 0
0.0139521 0.000731197 0
0.0149486 0.000783426 0
0.0159452 0.000835654 0
0.0169418 0.000887882 0
0.0179384 0.000940111 0
0.018935 0.000992339 0
0.0199315 0.00104457 -6.47941
0.0209281 0.0010968 -2.61029
0.0219247 0.00114902 10.8123
0.0229213 0.00120125 2.23393
0.0239178 0.00125348 -3.89629
0.0249144 0.00130571 23.9693
0.025911 0.00135794 59.7385
0.0269076 0.00141017 63.3678
0.0279041 0.00146239 48.2684
0.0289007 0.00151462 46.251
0.0298973 0.00156685 44.0718
0.0308939 0.00161908 25.9698
0.0318905 0.00167131 6.44865
0.032887 0.00172354 1.15302
0.0338836 0.00177576 3.19361
0.0348802 0.00182799 6.83454
