TITLE="EPhi"
VARIABLES="x", "y", "EPhi"
ZONE T="Ephi", I=38, J=2, DATAPACKING=POINT
0.0249334 0.000870694 0
0.0259307 0.000905522 0
0.0269281 0.000940349 0
0.0279254 0.000975177 0
0.0289228 0.00101 0
0.0299201 0.00104483 0
0.0309174 0.00107966 0
0.0319148 0.00111449 0
0.0329121 0.00114932 0
0.0339094 0.00118414 0
0.0349068 0.00121897 0
0.0359041 0.0012538 0
0.0369014 0.00128863 0
0 0 0
0.000996577 5.22284e-05 -3140.07
0.00199315 0.000104457 -13404
0.00298973 0.000156685 -21009.8
0.00398631 0.000208913 -24483.5
0.00498288 0.000261142 -22329.5
0.00597946 0.00031337 -13873.5
0.00697604 0.000365599 -953.63
0.00797261 0.000417827 12242.5
0.00896919 0.000470055 21932.8
0.00996577 0.000522284 27048.6
0.0109623 0.000574512 28106
0.0119589 0.00062674 25004.7
0.0129555 0.000678969 17563.3
0.0139521 0.000731197 7972.31
0.0149486 0.000783426 532.011
0.0159452 0.000835654 -2260.3
0.0169418 0.000887882 -2115.61
0.0179384 0.000940111 -2011.94
0.018935 0.000992339 -2253.19
0.0199315 0.00104457 -1573.9
0.0209281 0.0010968 -316.727
0.0219247 0.00114902 129.844
0.0229213 0.00120125 0
0.0239178 0.00125348 0
0.0249144 0.00130571 0
0.025911 0.00135794 0
0.0269076 0.00141017 0
0.0279041 0.00146239 0
0.0289007 0.00151462 0
0.0298973 0.00156685 0
0.0308939 0.00161908 0
0.0318905 0.00167131 0
0.032887 0.00172354 0
0.0338836 0.00177576 0
0.0348802 0.00182799 0
0.0358768 0.00188022 0
0.0368733 0.00193245 0
ZONE T="Ephi", I=38, J=2, DATAPACKING=POINT
0 0 0
0.000996577 5.22284e-05 -3140.07
0.00199315 0.000104457 -13404
0.00298973 0.000156685 -21009.8
0.00398631 0.000208913 -24483.5
0.00498288 0.000261142 -22329.5
0.00597946 0.00031337 -13873.5
0.00697604 0.000365599 -953.63
0.00797261 0.000417827 12242.5
0.00896919 0.000470055 21932.8
0.00996577 0.000522284 27048.6
0.0109623 0.000574512 28106
0.0119589 0.00062674 25004.7
0.0129555 0.000678969 17563.3
0.0139521 0.000731197 7972.31
0.0149486 0.000783426 532.011
0.0159452 0.000835654 -2260.3
0.0169418 0.000887882 -2115.61
0.0179384 0.000940111 -2011.94
0.018935 0.000992339 -2253.19
0.0199315 0.00104457 -1573.9
0.0209281 0.0010968 -316.727
0.0219247 0.00114902 129.844
0.0229213 0.00120125 0
0.0239178 0.00125348 0
0.0249144 0.00130571 0
0.025911 0.00135794 0
0.0269076 0.00141017 0
0.0279041 0.00146239 0
0.0289007 0.00151462 0
0.0298973 0.00156685 0
0.0308939 0.00161908 0
0.0318905 0.00167131 0
0.032887 0.00172354 0
0.0338836 0.00177576 0
0.0348802 0.00182799 0
0.0358768 0.00188022 0
0.0368733 0.00193245 0
0 0 0
0.000995513 6.96131e-05 -3344.59
0.00199103 0.000139226 -13582.2
0.00298654 0.000208839 -21157.2
0.00398205 0.000278452 -24590.9
0.00497757 0.000348065 -22409.2
0.00597308 0.000417678 -13965.4
0.00696859 0.000487292 -1101.74
0.00796411 0.000556905 12020
0.00895962 0.000626518 21653.6
0.00995513 0.000696131 26751.5
0.0109506 0.000765744 27826.7
0.0119462 0.000835357 24761.9
0.0129417 0.00090497 17362.5
0.0139372 0.000974583 7819.16
0.0149327 0.0010442 434.116
0.0159282 0.00111381 -2303.66
0.0169237 0.00118342 -2115.7
0.0179192 0.00125304 -1983.32
0.0189148 0.00132265 -2211.21
0.0199103 0.00139226 -1534.65
0.0209058 0.00146187 -291.309
0.0219013 0.00153149 138.833
0.0228968 0.0016011 0
0.0238923 0.00167071 0
0.0248878 0.00174033 0
0.0258833 0.00180994 0
0.0268789 0.00187955 0
