time		Ez		Er		Ephi		Bz		Br		Bphi		Pout		Vin		
1.88721e-12		0		0		0		0		0		0		0		0		0
3.77443e-12		0		0		0		0		0		0		0		0		0
5.66164e-12		0		0		0		0		0		0		0		0		0
7.54886e-12		0		0		0		0		0		0		0		0		0
9.43607e-12		0		0		0		0		0		0		0		0		0
1.13233e-11		0		0		0		0		0		0		0		-0.00109574		0
1.32105e-11		0		0		0		0		0		0		0		-0.0112339		0
1.50977e-11		0		0		0		0		0		0		0		-0.0627411		0
1.69849e-11		0		0		0		0		0		0		0		-0.25226		0
1.88721e-11		0		0		0		0		0		0		0		-0.815125		0
2.07594e-11		0		0		0		0		0		0		0		-2.24269		0
2.26466e-11		0		0		0		0		0		0		0		-5.44083		0
2.45338e-11		0		0		0		0		0		0		0		-11.911		0
2.6421e-11		0		0		0		0		0		0		0		-23.9152		0
2.83082e-11		0		0		0		0		0		0		0		-44.5697		0
3.01954e-11		0		0		0		0		0		0		0		-77.8043		0
3.20826e-11		0		0		0		0		0		0		0		-128.139		0
3.39699e-11		0		0		0		0		0		0		0		-200.252		0
3.58571e-11		0		0		0		0		0		0		0		-298.374		0
3.77443e-11		0		0		0		0		0		0		0		-425.575		0
3.96315e-11		0		0		0		0		0		0		0		-583.083		0
4.15187e-11		0		0		0		0		0		0		0		-769.78		0
4.34059e-11		0		0		0		0		0		0		0		-982.01		0
4.52931e-11		0		0		0		0		0		0		0		-1213.81		0
4.71804e-11		0		0		0		0		0		0		0		-1457.55		0
4.90676e-11		0		0		0		0		0		0		0		-1704.95		0
5.09548e-11		0		0		0		0		0		0		0		-1948.28		0
5.2842e-11		0		0		0		0		0		0		0		-2181.48		0
5.47292e-11		0		0		0		0		0		0		0		-2401.07		0
5.66164e-11		0		0		0		0		0		0		0		-2606.52		0
5.85036e-11		0		0		0		0		0		0		0		-2800.17		0
6.03909e-11		0		0		0		0		0		0		0		-2986.49		0
6.22781e-11		0		0		0		0		0		0		0		-3171		0
6.41653e-11		0		0		0		0		0		0		0		-3359.04		0
6.60525e-11		0		0		0		0		0		0		0		-3554.61		0
6.79397e-11		0		0		0		0		0		0		0		-3759.62		0
6.98269e-11		0		0		0		0		0		0		0		-3973.6		0
7.17141e-11		0		0		0		0		0		0		0		-4194		0
7.36014e-11		0		0		0		0		0		0		0		-4417		0
7.54886e-11		0		0		0		0		0		0		0		-4638.44		0
7.73758e-11		0		0		0		0		0		0		0		-4854.95		0
7.9263e-11		0		0		0		0		0		0		0		-5064.65		0
8.11502e-11		0		0		0		0		0		0		0		-5267.55		0
8.30374e-11		0		0		0		0		0		0		0		-5465.36		0
8.49246e-11		0		0		0		0		0		0		0		-5661.01		0
8.68119e-11		0		0		0		0		0		0		0		-5857.71		0
8.86991e-11		0		0		0		0		0		0		0		-6058.19		0
9.05863e-11		0		0		0		0		0		0		0		-6263.96		0
9.24735e-11		0		0		0		0		0		0		0		-6475.02		0
9.43607e-11		0		0		0		0		0		0		0		-6689.96		0
9.62479e-11		0		0		0		0		0		0		0		-6906.43		0
9.81351e-11		0		0		0		0		0		0		0		-7121.83		0
1.00022e-10		0		0		0		0		0		0		0		-7334.03		0
1.0191e-10		0		0		0		0		0		0		0		-7541.91		0
1.03797e-10		0		0		0		0		0		0		0		-7745.62		0
1.05684e-10		0		0		0		0		0		0		0		-7946.44		0
1.07571e-10		0		0		0		0		0		0		0		-8146.36		0
1.09458e-10		0		0		0		0		0		0		0		-8347.5		0
1.11346e-10		0		0		0		0		0		0		0		-8551.51		0
1.13233e-10		0		0		0		0		0		0		0		-8759.13		0
1.1512e-10		0		0		0		0		0		0		0		-8970.04		0
1.17007e-10		0		0		0		0		0		0		0		-9183.03		0
1.18894e-10		0		0		0		0		0		0		0		-9396.37		0
1.20782e-10		0		0		0		0		0		0		0		-9608.32		0
1.22669e-10		0		0		0		0		0		0		0		-9817.65		0
1.24556e-10		0		0		0		0		0		0		0		-10023.9		0
1.26443e-10		0		0		0		0		0		0		0		-10227.7		0
1.28331e-10		0		0		0		0		0		0		0		-10430		0
1.30218e-10		0		0		0		0		0		0		0		-10632.4		0
1.32105e-10		0		0		0		0		0		0		0		-10836.4		0
1.33992e-10		0		0		0		0		0		0		0		-11042.7		0
1.35879e-10		0		0		0		0		0		0		0		-11251.6		0
1.37767e-10		0		0		0		0		0		0		0		-11462.4		0
1.39654e-10		0		0		0		0		0		0		0		-11674.1		0
1.41541e-10		0		0		0		0		0		0		0		-11885.3		0
1.43428e-10		0		0		0		0		0		0		0		-12094.9		0
1.45315e-10		0		0		0		0		0		0		0		-12302.3		0
1.47203e-10		0		0		0		0		0		0		0		-12507.7		0
1.4909e-10		0		0		0		0		0		0		0		-12711.6		0
1.50977e-10		0		0		0		0		0		0		0		-12915.2		0
1.52864e-10		0		0		0		0		0		0		0		-13119.5		0
1.54752e-10		0		0		0		0		0		0		0		-13325.4		0
1.56639e-10		0		0		0		0		0		0		0		-13533.3		0
1.58526e-10		0		0		0		0		0		0		0		-13742.8		0
1.60413e-10		0		0		0		0		0		0		0		-13953.2		0
1.623e-10		0		0		0		0		0		0		0		-14163.7		0
1.64188e-10		0		0		0		0		0		0		0		-14373.2		0
1.66075e-10		0		0		0		0		0		0		0		-14581.1		0
1.67962e-10		0		0		0		0		0		0		0		-14787.4		0
1.69849e-10		0		0		0		0		0		0		0		-14992.5		0
1.71736e-10		0		0		0		0		0		0		0		-15196.9		0
1.73624e-10		0		0		0		0		0		0		0		-15401.7		0
1.75511e-10		0		0		0		0		0		0		0		-15607.6		0
1.77398e-10		0		0		0		0		0		0		0		-15814.8		0
1.79285e-10		0		0		0		0		0		0		0		-16023.5		0
1.81173e-10		0		0		0		0		0		0		0		-16233.1		0
1.8306e-10		0		0		0		0		0		0		0		-16442.9		0
1.84947e-10		0		0		0		0		0		0		0		-16652.1		0
1.86834e-10		0		0		0		0		0		0		0		-16860.3		0
1.88721e-10		0		0		0		0		0		0		0		-17067.2		0
1.90609e-10		0		0		0		0		0		0		0		-17272.9		0
1.92496e-10		0		0		0		0		0		0		0		-17478.1		0
1.94383e-10		0		0		0		0		0		0		0		-17683.3		0
1.9627e-10		0		0		0		0		0		0		0		-17889.2		0
1.98157e-10		0		0		0		0		0		0		0		-18096.2		0
2.00045e-10		0		0		0		0		0		0		0		-18304.3		0
2.01932e-10		0		0		0		0		0		0		0		-18513.3		0
2.03819e-10		0		0		0		0		0		0		0		-18722.5		0
2.05706e-10		0		0		0		0		0		0		0		-18931.5		0
2.07594e-10		0		0		0		0		0		0		0		-19139.8		0
2.09481e-10		0		0		0		0		0		0		0		-19347		0
2.11368e-10		0		0		0		0		0		0		0		-19553.3		0
2.13255e-10		0		0		0		0		0		0		0		-19758.9		0
2.15142e-10		0		0		0		0		0		0		0		-19964.5		0
2.1703e-10		0		0		0		0		0		0		0		-20170.5		0
2.18917e-10		0		0		0		0		0		0		0		-20377.4		0
2.20804e-10		0		0		0		0		0		0		0		-20585.1		0
2.22691e-10		0		0		0		0		0		0		0		-20793.6		0
2.24578e-10		0		0		0		0		0		0		0		-21002.5		0
2.26466e-10		0		0		0		0		0		0		0		-21211.3		0
2.28353e-10		0		0		0		0		0		0		0		-21419.5		0
2.3024e-10		0		0		0		0		0		0		0		-21626.9		0
2.32127e-10		0		0		0		0		0		0		0		-21833.5		0
2.34015e-10		0		0		0		0		0		0		0		-22039.6		0
2.35902e-10		0		0		0		0		0		0		0		-22245.5		0
2.37789e-10		0		0		0		0		0		0		0		-22451.6		0
2.39676e-10		0		0		0		0		0		0		0		-22658.4		0
2.41563e-10		0		0		0		0		0		0		0		-22865.9		0
2.43451e-10		0		0		0		0		0		0		0		-23074.1		0
2.45338e-10		0		0		0		0		0		0		0		-23282.6		0
2.47225e-10		0		0		0		0		0		0		0		-23491.2		0
2.49112e-10		0		0		0		0		0		0		0		-23699.3		0
2.50999e-10		0		0		0		0		0		0		0		-23906.9		0
2.52887e-10		0		0		0		0		0		0		0		-24113.7		0
2.54774e-10		0		0		0		0		0		0		0		-24320.1		0
2.56661e-10		0		0		0		0		0		0		0		-24526.3		0
2.58548e-10		0		0		0		0		0		0		0		-24732.6		0
2.60436e-10		0		0		0		0		0		0		0		-24939.3		0
2.62323e-10		0		0		0		0		0		0		0		-25146.7		0
2.6421e-10		0		0		0		0		0		0		0		-25354.6		0
2.66097e-10		0		0		0		0		0		0		0		-25562.9		0
2.67984e-10		0		0		0		0		0		0		0		-25771.2		0
2.69872e-10		0		0		0		0		0		0		0		-25979.3		0
2.71759e-10		0		0		0		0		0		0		0		-26186.9		0
2.73646e-10		0		0		0		0		0		0		0		-26394		0
2.75533e-10		0		0		0		0		0		0		0		-26600.6		0
2.7742e-10		0		0		0		0		0		0		0		-26806.9		0
2.79308e-10		0		0		0		0		0		0		0		-27013.4		0
2.81195e-10		0		0		0		0		0		0		0		-27220.2		0
2.83082e-10		0		0		0		0		0		0		0		-27427.4		0
2.84969e-10		0		0		0		0		0		0		0		-27635.2		0
2.86857e-10		0		0		0		0		0		0		0		-27843.2		0
2.88744e-10		0		0		0		0		0		0		0		-28051.4		0
2.90631e-10		0		0		0		0		0		0		0		-28259.4		0
